date,open,high,low,close,volume
2021-11-30,22.07,22.22,21.88,21.9,74253010.0
2021-12-01,21.89,22.08,21.81,22.05,58355199.0
2021-12-02,21.88,22.59,21.75,22.36,137947908.0
2021-12-03,22.34,22.55,22.06,22.45,99715914.0
2021-12-06,22.55,23.05,22.44,22.69,150401605.0
2021-12-07,23.1,24.45,22.91,24.25,394790608.0
2021-12-08,24.01,24.02,23.46,23.75,263269385.0
2021-12-09,23.56,24.15,23.51,23.81,183672920.0
2021-12-10,23.6,23.74,23.14,23.17,163686624.0
2021-12-13,23.66,24.72,23.65,24.12,343803264.0
2021-12-14,23.85,23.99,23.62,23.7,149032974.0
2021-12-15,23.68,23.93,23.6,23.61,90265683.0
2021-12-16,23.59,23.9,23.38,23.89,105196235.0
2021-12-17,24.0,24.28,23.54,23.54,116149752.0
2021-12-20,23.5,23.5,23.11,23.15,93436287.0
2021-12-21,23.12,23.53,23.1,23.43,69568844.0
2021-12-22,23.55,23.55,23.13,23.21,65416366.0
2021-12-23,23.23,23.52,22.84,23.52,101469993.0
2021-12-24,23.4,23.77,23.28,23.36,80301454.0
2021-12-27,23.36,23.74,23.19,23.51,65119869.0
2021-12-28,23.58,24.0,23.58,23.75,88706747.0
2021-12-29,23.77,23.86,23.33,23.35,67821577.0
2021-12-30,23.22,23.3,23.1,23.14,74389831.0
2021-12-31,23.18,23.27,22.72,22.8,97708670.0
2022-01-04,22.79,22.89,22.52,22.8,77009119.0
2022-01-05,22.81,23.29,22.66,23.08,127557366.0
2022-01-06,22.91,24.1,22.86,23.85,228516044.0
2022-01-07,23.77,25.11,23.75,24.81,320466560.0
2022-01-10,25.2,25.31,24.41,24.86,160071297.0
2022-01-11,24.95,25.15,24.42,24.52,140703341.0
2022-01-12,24.52,24.64,24.02,24.49,108269357.0
2022-01-13,24.42,24.61,23.87,23.92,105338119.0
2022-01-14,23.88,23.88,23.33,23.38,95040258.0
2022-01-17,23.31,23.5,23.09,23.42,76211029.0
2022-01-18,23.26,23.8,23.08,23.54,118279799.0
2022-01-19,23.77,24.5,23.68,24.35,196751521.0
2022-01-20,24.35,24.6,23.73,24.25,127579835.0
2022-01-21,24.05,24.07,23.1,23.18,159580926.0
2022-01-24,22.95,23.18,22.53,22.75,101689140.0
2022-01-25,22.6,22.85,21.74,21.81,135552847.0
2022-01-26,21.81,22.14,21.47,21.97,83620679.0
2022-01-27,21.8,21.87,20.67,20.73,155151847.0
2022-01-28,20.79,20.92,20.02,20.14,123902820.0
2022-02-07,20.54,20.84,20.37,20.74,80759123.0
2022-02-08,20.91,21.38,20.76,21.25,96091981.0
2022-02-09,21.25,21.25,20.87,21.19,76152645.0
2022-02-10,21.21,21.34,21.0,21.21,61322187.0
2022-02-11,21.2,21.26,20.72,20.82,79766540.0
2022-02-14,20.66,20.86,20.25,20.46,73934421.0
2022-02-15,20.4,20.78,20.35,20.75,57676212.0
2022-02-16,20.92,21.0,20.68,20.82,50258999.0
2022-02-17,20.84,20.89,20.6,20.75,49515075.0
2022-02-18,20.55,20.9,20.49,20.89,58997368.0
2022-02-21,20.85,20.86,20.63,20.78,55491746.0
2022-02-22,20.58,20.6,20.31,20.38,72474733.0
2022-02-23,20.38,20.77,20.38,20.75,75920180.0
2022-02-24,20.69,20.69,20.08,20.19,94120562.0
2022-02-25,20.31,20.48,20.06,20.17,82882331.0
2022-02-28,20.15,20.15,19.52,19.61,148479331.0
2022-03-01,19.6,19.76,19.55,19.74,83630243.0
2022-03-02,19.6,19.61,19.4,19.5,75320403.0
2022-03-03,19.54,19.6,19.39,19.43,71694072.0
2022-03-04,19.3,19.3,18.88,18.93,119048115.0
2022-03-07,18.72,18.72,18.06,18.16,137591674.0
2022-03-08,18.1,18.29,17.32,17.66,135839706.0
2022-03-09,17.7,17.79,16.35,17.08,155704742.0
2022-03-10,17.48,17.49,17.17,17.23,105438773.0
2022-03-11,16.89,17.88,16.67,17.87,142221174.0
2022-03-14,17.56,18.02,17.42,17.42,83012169.0
2022-03-15,17.31,17.42,16.5,16.5,106580218.0
2022-03-16,16.95,17.27,16.2,17.17,125395353.0
2022-03-17,17.46,18.11,17.32,17.72,161301093.0
2022-03-18,17.6,18.07,17.42,17.95,125928171.0
2022-03-21,18.0,18.07,17.6,17.77,77862850.0
2022-03-22,17.63,17.87,17.52,17.72,52379724.0
2022-03-23,17.66,17.84,17.6,17.63,53827052.0
2022-03-24,17.49,17.55,17.26,17.46,58400979.0
2022-03-25,17.46,17.56,17.09,17.1,59086846.0
2022-03-28,17.0,17.3,16.73,17.24,59456329.0
2022-03-29,17.23,17.25,16.69,16.72,66323058.0
2022-03-30,16.88,17.65,16.81,17.63,131099530.0
2022-03-31,17.5,17.8,17.45,17.52,84596914.0
2022-04-01,17.38,17.7,17.32,17.55,68377327.0
2022-04-06,17.4,18.03,17.26,17.88,133026033.0
2022-04-07,17.7,18.13,17.62,17.66,128620162.0
2022-04-08,17.8,19.43,17.8,19.27,323122240.0
2022-04-11,19.2,19.2,18.51,18.62,194683192.0
2022-04-12,18.49,18.93,18.37,18.78,127203821.0
2022-04-13,18.5,18.5,18.1,18.16,110910444.0
2022-04-14,18.25,18.9,18.22,18.75,118923880.0
2022-04-15,18.5,18.68,18.36,18.43,72762420.0
2022-04-18,18.26,18.29,17.95,18.01,70691557.0
2022-04-19,17.99,18.24,17.51,17.68,87882748.0
2022-04-20,17.75,17.86,17.32,17.38,65663711.0
2022-04-21,17.31,17.37,16.66,16.72,99949593.0
2022-04-22,16.62,16.99,16.32,16.84,67245342.0
