date,open,high,low,close,volume
2021-11-30,15.5,16.88,14.69,14.71,70608552.0
2021-12-01,15.14,15.75,14.84,15.26,49118879.0
2021-12-02,14.97,15.09,13.86,13.93,55990152.0
2021-12-03,13.88,16.35,13.81,16.08,79480036.0
2021-12-06,16.5,16.79,15.51,15.77,55439685.0
2021-12-07,15.62,16.78,15.18,16.72,69754089.0
2021-12-08,16.5,17.28,16.2,16.4,50779341.0
2021-12-09,16.52,16.53,15.65,15.66,36360738.0
2021-12-10,15.58,15.88,15.33,15.63,25726043.0
2021-12-13,15.6,15.87,15.18,15.64,27126019.0
2021-12-14,15.59,16.5,15.55,15.94,39580506.0
2021-12-15,15.51,15.87,14.8,15.25,34753823.0
2021-12-16,15.16,15.54,15.01,15.27,20715025.0
2021-12-17,15.11,15.71,15.01,15.06,19513678.0
2021-12-20,14.98,14.99,14.05,14.19,24519894.0
2021-12-21,14.45,14.87,14.25,14.84,22357287.0
2021-12-22,14.9,14.98,14.55,14.75,12051022.0
2021-12-23,14.86,15.93,14.62,15.76,31934197.0
2021-12-24,15.73,15.93,15.18,15.48,22017589.0
2021-12-27,15.6,15.91,15.18,15.62,18657136.0
2021-12-28,15.51,15.78,14.92,15.65,18999581.0
2021-12-29,15.35,16.1,15.24,15.64,18512753.0
2021-12-30,15.53,15.53,14.91,15.02,18292384.0
2021-12-31,15.07,15.44,14.94,14.94,14312393.0
2022-01-04,14.78,14.79,14.25,14.33,18096935.0
2022-01-05,14.33,14.4,13.68,13.82,17127974.0
2022-01-06,13.82,14.25,13.75,14.03,11709487.0
2022-01-07,14.0,14.14,13.22,13.39,13664359.0
2022-01-10,13.4,13.48,13.03,13.12,12938455.0
2022-01-11,13.25,13.29,12.7,12.76,12932482.0
2022-01-12,12.83,13.18,12.71,13.14,12093017.0
2022-01-13,13.14,13.15,12.64,12.65,10296365.0
2022-01-14,12.65,13.03,12.52,12.81,8812315.0
2022-01-17,12.81,13.17,12.7,13.08,9968602.0
2022-01-18,13.05,13.38,12.9,13.17,11948974.0
2022-01-19,13.02,13.13,12.68,12.87,10144482.0
2022-01-20,12.75,12.99,12.21,12.28,12250093.0
2022-01-21,12.33,12.77,12.15,12.38,8494185.0
2022-01-24,12.28,12.7,12.28,12.56,6166350.0
2022-01-25,12.45,12.75,12.13,12.13,7760391.0
2022-01-26,12.29,13.12,12.28,12.97,16030688.0
2022-01-27,12.75,13.15,12.63,12.63,13209063.0
2022-01-28,12.71,14.12,12.38,13.98,28883843.0
2022-02-07,14.28,14.36,13.71,14.12,18305264.0
2022-02-08,14.11,14.95,13.49,14.59,30143596.0
2022-02-09,14.11,14.5,13.95,14.35,20332455.0
2022-02-10,14.18,14.55,14.06,14.1,15120566.0
2022-02-11,13.99,14.58,13.72,14.09,16393911.0
2022-02-14,13.81,14.81,13.73,14.37,21991226.0
2022-02-15,14.23,15.32,14.15,15.1,32732023.0
2022-02-16,14.86,15.33,14.72,14.87,22910307.0
2022-02-17,14.78,15.5,14.66,15.18,27585647.0
2022-02-18,15.01,15.34,14.9,15.03,14000171.0
2022-02-21,14.8,15.27,14.78,14.88,11574076.0
2022-02-22,14.8,14.98,14.3,14.71,16056911.0
2022-02-23,14.8,15.11,14.78,14.9,11727760.0
2022-02-24,14.8,15.07,14.05,14.32,17021702.0
