date,open,high,low,close,volume
2021-11-30,3.68,3.78,3.63,3.64,146506150.0
2021-12-01,3.65,3.69,3.61,3.68,97299499.0
2021-12-02,3.66,3.69,3.53,3.54,148584755.0
2021-12-03,3.53,3.63,3.51,3.57,110465500.0
2021-12-06,3.59,3.83,3.57,3.71,202863950.0
2021-12-07,3.71,3.74,3.53,3.59,154019769.0
2021-12-08,3.58,3.7,3.56,3.63,94502181.0
2021-12-09,3.64,3.65,3.58,3.62,80267550.0
2021-12-10,3.6,3.63,3.57,3.59,60458700.0
2021-12-13,3.58,3.62,3.57,3.6,66473169.0
2021-12-14,3.58,3.73,3.58,3.67,112396566.0
2021-12-15,3.64,3.79,3.6,3.78,180490391.0
2021-12-16,3.76,3.81,3.72,3.75,98939026.0
2021-12-17,3.74,3.84,3.73,3.74,107970400.0
2021-12-20,3.73,3.73,3.6,3.6,95903495.0
2021-12-21,3.62,3.81,3.6,3.74,112610822.0
2021-12-22,3.73,3.83,3.7,3.75,97872922.0
2021-12-23,3.77,3.82,3.74,3.77,105814572.0
2021-12-24,3.8,3.8,3.6,3.61,123746304.0
2021-12-27,3.6,3.64,3.51,3.53,93667900.0
2021-12-28,3.53,3.57,3.47,3.55,75732870.0
2021-12-29,3.52,3.59,3.5,3.54,50330418.0
2021-12-30,3.52,3.58,3.52,3.55,53812950.0
2021-12-31,3.58,3.73,3.57,3.6,119271291.0
2022-01-04,3.58,3.65,3.55,3.63,80164422.0
2022-01-05,3.62,3.62,3.51,3.54,77258036.0
2022-01-06,3.52,3.57,3.51,3.55,46424133.0
2022-01-07,3.54,3.56,3.49,3.5,58593483.0
2022-01-10,3.49,3.5,3.42,3.44,61003728.0
2022-01-11,3.43,3.46,3.38,3.4,54712056.0
2022-01-12,3.41,3.46,3.4,3.45,52583751.0
2022-01-13,3.43,3.48,3.4,3.4,46340600.0
2022-01-14,3.39,3.42,3.32,3.33,50386100.0
2022-01-17,3.32,3.37,3.31,3.36,37551641.0
2022-01-18,3.36,3.41,3.34,3.37,42723250.0
2022-01-19,3.36,3.38,3.33,3.34,34164300.0
2022-01-20,3.33,3.36,3.28,3.29,39253300.0
2022-01-21,3.28,3.29,3.22,3.22,40314626.0
2022-01-24,3.22,3.25,3.2,3.23,22271803.0
2022-01-25,3.23,3.26,3.11,3.12,42136103.0
2022-01-26,3.19,3.31,3.18,3.25,61945449.0
2022-01-27,3.22,3.24,3.15,3.15,39892496.0
2022-01-28,3.17,3.32,3.13,3.24,55914803.0
2022-02-07,3.28,3.32,3.26,3.29,40531710.0
2022-02-08,3.29,3.35,3.26,3.35,60566480.0
2022-02-09,3.32,3.36,3.31,3.35,42814500.0
2022-02-10,3.34,3.35,3.31,3.32,33250800.0
2022-02-11,3.31,3.32,3.25,3.26,37520222.0
2022-02-14,3.23,3.28,3.23,3.24,24057931.0
2022-02-15,3.24,3.33,3.23,3.32,48058313.0
2022-02-16,3.31,3.32,3.28,3.3,31964300.0
2022-02-17,3.28,3.34,3.28,3.31,37377000.0
2022-02-18,3.3,3.31,3.27,3.3,27854689.0
2022-02-21,3.29,3.32,3.28,3.32,32096865.0
2022-02-22,3.3,3.3,3.24,3.25,40841384.0
2022-02-23,3.24,3.28,3.24,3.26,39195058.0
2022-02-24,3.25,3.3,3.15,3.19,74266235.0
2022-02-25,3.2,3.26,3.2,3.21,38689410.0
2022-02-28,3.22,3.24,3.17,3.2,32489503.0
2022-03-01,3.2,3.32,3.2,3.26,63924636.0
2022-03-02,3.25,3.27,3.23,3.25,38146352.0
2022-03-03,3.27,3.29,3.23,3.25,40429292.0
2022-03-04,3.25,3.27,3.2,3.2,39282800.0
2022-03-07,3.19,3.2,3.14,3.15,40065437.0
2022-03-08,3.14,3.16,3.04,3.06,43074650.0
2022-03-09,3.07,3.09,2.87,3.01,50686193.0
2022-03-10,3.05,3.12,3.04,3.08,45939790.0
2022-03-11,3.05,3.09,2.99,3.08,41278418.0
2022-03-14,3.07,3.11,3.02,3.02,31835200.0
2022-03-15,3.0,3.02,2.88,2.89,45247500.0
2022-03-16,2.92,2.96,2.81,2.95,48569476.0
2022-03-17,2.98,3.02,2.96,2.99,45368704.0
2022-03-18,2.97,3.02,2.96,3.02,33655500.0
2022-03-21,3.02,3.03,2.97,3.0,31698891.0
2022-03-22,2.98,3.01,2.97,2.98,24018700.0
2022-03-23,3.0,3.14,2.99,3.09,84076738.0
2022-03-24,3.06,3.06,3.01,3.01,42779900.0
2022-03-25,3.0,3.02,2.97,2.98,29542151.0
2022-03-28,2.97,2.99,2.93,2.97,24928638.0
