date,open,high,low,close,volume
2021-11-30,3.69,3.77,3.66,3.69,16212929.0
2021-12-01,3.68,3.76,3.66,3.75,16044882.0
2021-12-02,3.75,3.76,3.7,3.73,12572243.0
2021-12-03,3.74,3.85,3.74,3.8,25179941.0
2021-12-06,3.79,3.84,3.76,3.76,19203945.0
2021-12-07,3.78,3.82,3.74,3.77,17188892.0
2021-12-08,3.79,3.81,3.74,3.78,13518872.0
2021-12-09,3.77,3.8,3.76,3.79,20988484.0
2021-12-10,3.79,3.82,3.75,3.81,18570561.0
2021-12-13,3.8,3.95,3.8,3.85,40790172.0
2021-12-14,3.84,3.84,3.76,3.76,19793640.0
2021-12-15,3.76,3.85,3.76,3.8,14466549.0
2021-12-16,3.8,3.87,3.79,3.87,17817182.0
2021-12-17,3.85,3.94,3.82,3.9,25380372.0
2021-12-20,3.9,3.91,3.84,3.86,16972383.0
2021-12-21,3.85,3.92,3.82,3.92,18957518.0
2021-12-22,3.96,3.96,3.88,3.9,15299236.0
2021-12-23,3.95,3.97,3.9,3.91,19920187.0
2021-12-24,3.9,3.94,3.79,3.79,24651269.0
2021-12-27,3.79,3.85,3.77,3.81,13098449.0
2021-12-28,3.8,3.82,3.76,3.78,10877112.0
2021-12-29,3.78,3.83,3.74,3.78,10517313.0
2021-12-30,3.77,3.8,3.75,3.78,10349769.0
2021-12-31,3.77,3.81,3.76,3.77,13537561.0
2022-01-04,3.81,3.97,3.79,3.9,34780943.0
2022-01-05,3.93,4.09,3.92,3.96,39604303.0
2022-01-06,3.96,4.07,3.91,4.04,31440503.0
2022-01-07,4.02,4.1,4.0,4.01,23889600.0
2022-01-10,4.0,4.04,3.96,3.99,19114015.0
2022-01-11,3.99,4.07,3.97,4.01,18589068.0
2022-01-12,4.0,4.03,3.95,4.0,16685031.0
2022-01-13,3.99,4.03,3.93,3.94,15040071.0
2022-01-14,3.93,3.94,3.75,3.79,29381428.0
2022-01-17,3.79,3.81,3.75,3.8,15922950.0
2022-01-18,3.8,3.82,3.76,3.8,15418582.0
2022-01-19,3.79,3.82,3.77,3.8,11425297.0
2022-01-20,3.79,3.82,3.72,3.75,14616206.0
2022-01-21,3.75,3.76,3.67,3.72,17973051.0
2022-01-24,3.69,3.7,3.63,3.65,10208589.0
2022-01-25,3.63,3.67,3.53,3.54,14151710.0
2022-01-26,3.55,3.61,3.54,3.57,7999481.0
2022-01-27,3.58,3.58,3.48,3.52,10466392.0
2022-01-28,3.52,3.57,3.47,3.53,11817813.0
2022-02-07,3.56,3.63,3.56,3.6,20030136.0
2022-02-08,3.6,3.73,3.59,3.73,20155055.0
2022-02-09,3.72,3.73,3.69,3.71,13805217.0
2022-02-10,3.7,3.75,3.7,3.73,12008455.0
2022-02-11,3.72,3.73,3.67,3.68,10750107.0
2022-02-14,3.67,3.7,3.58,3.62,18003423.0
2022-02-15,3.63,3.66,3.58,3.62,12507589.0
2022-02-16,3.63,3.69,3.62,3.68,9503208.0
2022-02-17,3.69,3.69,3.63,3.64,10556618.0
2022-02-18,3.63,3.72,3.61,3.71,13092178.0
2022-02-21,3.72,3.73,3.69,3.72,8108746.0
2022-02-22,3.71,3.71,3.63,3.67,10936952.0
2022-02-23,3.68,3.69,3.65,3.67,10112043.0
2022-02-24,3.66,3.66,3.51,3.55,20940423.0
2022-02-25,3.58,3.62,3.54,3.55,11205352.0
2022-02-28,3.55,3.59,3.49,3.58,14992276.0
2022-03-01,3.58,3.62,3.57,3.6,10638633.0
2022-03-02,3.58,3.62,3.57,3.61,11066991.0
2022-03-03,3.61,3.69,3.61,3.68,17244341.0
2022-03-04,3.67,3.67,3.59,3.61,12936240.0
2022-03-07,3.59,3.61,3.52,3.54,11884223.0
2022-03-08,3.53,3.55,3.43,3.45,13773120.0
2022-03-09,3.45,3.48,3.26,3.36,19958269.0
